enter,EXIT,1,2,3,4,5
BUKIT TAGAR Toll,Jalan Duta Toll,5.66,10.3,13.7,2.79,4.26
BUKIT TAGAR Toll,SUBANG Toll,5.66,10.4,13.9,2.87,4.26
BUKIT TAGAR Toll,Shah Alam Toll,6.15,11.3,15.1,3.12,4.67
BUKIT TAGAR Toll,Seafield Toll,6.81,12.5,16.6,3.44,5.08
BUKIT TAGAR Toll,Setia Alam Toll,7.13,13,17.4,3.61,5.33
BUKIT TAGAR Toll,USJ Toll,7.22,13.2,17.6,3.61,5.41
BUKIT TAGAR Toll,Bukit Raja Toll,7.22,13.3,17.7,3.61,5.41
BUKIT TAGAR Toll,SUNGKAI Toll,7.54,13.8,18.4,3.77,5.66
BUKIT TAGAR Toll,PUTRA HEIGHTS Toll,7.71,14.2,18.9,3.85,5.82
BUKIT TAGAR Toll,Bandar Saujana Putra Toll,8.04,14.7,19.6,4.02,6.07
BUKIT TAGAR Toll,BIDOR Toll,9.1,16.6,22.2,4.51,6.81
BUKIT TAGAR Toll,BANDAR GAMUDA COVE Toll,9.18,16.8,22.4,4.59,6.89
BUKIT TAGAR Toll,Putra Jaya Toll,9.59,17.6,23.4,4.84,7.22
BUKIT TAGAR Toll,BANDAR SERENIA Toll,10.41,19,25.3,5.17,7.79
BUKIT TAGAR Toll,TAPAH Toll,10.58,19.3,25.7,5.25,7.87
BUKIT TAGAR Toll,KLIA Toll,10.99,19.8,26.2,5.66,8.28
BUKIT TAGAR Toll,Nilai Toll,12.14,22.2,29.6,6.07,9.1
BUKIT TAGAR Toll,Putera Mahkota Toll,12.22,22.3,29.7,6.15,9.1
BUKIT TAGAR Toll,SOUTHVILLE CITY Toll,12.96,23.7,31.6,6.48,9.76
BUKIT TAGAR Toll,BANGI Toll,13.04,23.9,31.7,6.56,9.76
BUKIT TAGAR Toll,KAJANG Toll,13.69,25.1,33.4,6.89,10.25
BUKIT TAGAR Toll,Bandar Ainsdale Toll,13.86,25.4,33.8,6.97,10.33
BUKIT TAGAR Toll,UPM Toll,13.94,25.5,33.9,6.97,10.41
BUKIT TAGAR Toll,GOPENG Toll,13.94,25.5,34,6.97,10.5
BUKIT TAGAR Toll,SEREMBAN Toll,14.19,26,34.6,7.13,10.66
BUKIT TAGAR Toll,Sg. Besi Toll,14.51,26.5,35.3,7.3,10.82
BUKIT TAGAR Toll,Port Dickson Toll,14.6,26.7,35.5,7.3,10.91
BUKIT TAGAR Toll,SIMPANG PULAI Toll,14.92,27.3,36.4,7.46,11.23
BUKIT TAGAR Toll,Senawang Toll,15.01,27.5,36.6,7.54,11.23
BUKIT TAGAR Toll,Ipoh Selatan Toll,16.32,29.9,39.8,8.2,12.22
BUKIT TAGAR Toll,PEDAS LINGGI Toll,16.89,30.9,41.1,8.45,12.63
BUKIT TAGAR Toll,KUALA KANGSAR Toll,19.19,35.2,46.8,9.68,14.35
BUKIT TAGAR Toll,Simpang Ampat Toll,19.43,35.6,47.4,9.76,14.51
BUKIT TAGAR Toll,CANGKAT JERING Toll,21.57,39.5,52.6,10.82,16.15
BUKIT TAGAR Toll,Ayer Keroh Toll,21.73,39.9,53.1,10.91,16.32
BUKIT TAGAR Toll,TAIPING UTARA Toll,23.37,42.7,56.9,11.73,17.47
BUKIT TAGAR Toll,Jasin Toll,23.62,43.2,57.6,11.81,17.71
BUKIT TAGAR Toll,BUKIT MERAH Toll,24.6,45,59.9,12.3,18.37
BUKIT TAGAR Toll,Tangkak Toll,24.76,45.3,60.3,12.38,18.53
BUKIT TAGAR Toll,ALOR PONGSU Toll,26.08,47.6,63.5,13.04,19.52
BUKIT TAGAR Toll,Bukit Gambir Toll,26.16,47.8,63.7,13.12,19.6
BUKIT TAGAR Toll,BANDAR BAHARU Toll,26.49,48.6,64.7,13.28,19.84
BUKIT TAGAR Toll,Pagoh Toll,27.88,51,67.9,13.94,20.83
BUKIT TAGAR Toll,JAWI Toll,28.04,51.3,68.3,14.02,20.99
BUKIT TAGAR Toll,BKT. TAMBUN UTARA Toll,29.36,53.8,71.6,14.76,21.98
BUKIT TAGAR Toll,JURU Toll,30.09,55.1,73.4,15.09,22.55
BUKIT TAGAR Toll,BERTAM Toll,31.4,57.4,76.5,15.82,24.15
BUKIT TAGAR Toll,Yong Peng Utara Toll,32.64,59.7,79.6,16.4,24.44
BUKIT TAGAR Toll,SG. PETANI SELATAN Toll,33.04,60.4,80.4,16.64,24.84
BUKIT TAGAR Toll,SG. PETANI UTARA Toll,33.78,61.7,82.2,16.97,25.33
BUKIT TAGAR Toll,Ayer Hitam Toll,34.77,63.6,84.8,17.38,26.08
BUKIT TAGAR Toll,Machap Toll,35.59,65.1,86.8,17.88,26.65
BUKIT TAGAR Toll,GURUN Toll,35.58,65.1,86.7,17.96,26.73
BUKIT TAGAR Toll,Spg. Renggam Toll,37.15,68,90.6,18.61,27.88
BUKIT TAGAR Toll,PENDANG Toll,37.79,69.1,92,19.02,28.37
BUKIT TAGAR Toll,Sedenak Toll,39.28,71.9,95.8,19.68,29.44
BUKIT TAGAR Toll,Alor Setar Selatan Toll,39.43,72.1,96,19.84,30.05
BUKIT TAGAR Toll,Alor Setar Utara Toll,40.09,73.2,97.5,20.17,30.09
BUKIT TAGAR Toll,KULAI Toll,40.75,74.5,99.3,20.42,30.5
BUKIT TAGAR Toll,Hutan Kampung Toll,40.75,74.5,99.2,20.5,30.85
BUKIT TAGAR Toll,Senai Utara Toll,41.74,76.4,101.8,20.91,31.24
BUKIT TAGAR Toll,Skudai Toll,42.07,77,102.6,21.07,31.57
BUKIT TAGAR Toll,BANDAR CASSIA Toll,35.29,84.3,141.8,23.31,48.35
CAHAYA BARU Toll,Tiram Toll,5.6,8.5,11.3,2.8,3.5
CAHAYA BARU Toll,PENAWAR Toll,7.2,10.8,14.4,3.6,4.5
CAHAYA BARU Toll,Senai Toll,9.2,13.8,18.4,4.6,5.7
CANGKAT JERING Toll,TAIPING UTARA Toll,1.8,3.4,4.5,0.9,1.39
CANGKAT JERING Toll,KUALA KANGSAR Toll,2.46,4.5,6,1.23,1.89
CANGKAT JERING Toll,BUKIT MERAH Toll,3.12,3.12,3.12,3.12,3.12
CANGKAT JERING Toll,ALOR PONGSU Toll,4.51,8.3,11,2.3,3.36
CANGKAT JERING Toll,BANDAR BAHARU Toll,5.17,9.5,12.6,2.62,3.85
CANGKAT JERING Toll,IPOH UTARA Toll,5.25,9.6,12.8,2.62,3.94
CANGKAT JERING Toll,JAWI Toll,6.56,12,16,3.28,4.92
CANGKAT JERING Toll,SIMPANG PULAI Toll,6.72,12.3,16.3,3.36,5
CANGKAT JERING Toll,GOPENG Toll,7.79,14.3,19.1,3.94,5.82
CANGKAT JERING Toll,BKT. TAMBUN UTARA Toll,7.87,14.4,19.2,3.94,5.9
CANGKAT JERING Toll,JURU Toll,8.61,15.7,20.9,4.26,6.48
CANGKAT JERING Toll,BERTAM Toll,9.92,18,24,4.99,8.08
CANGKAT JERING Toll,TAPAH Toll,11.15,20.4,27.2,5.58,8.36
CANGKAT JERING Toll,SG. PETANI SELATAN Toll,11.56,21,27.9,5.81,8.77
CANGKAT JERING Toll,SG. PETANI UTARA Toll,12.3,22.3,29.7,6.14,9.26
CANGKAT JERING Toll,BIDOR Toll,12.63,23.2,30.9,6.31,9.51
CANGKAT JERING Toll,SUNGKAI Toll,14.19,25.9,34.6,7.05,10.66
CANGKAT JERING Toll,GURUN Toll,14.1,25.7,34.2,7.13,10.66
CANGKAT JERING Toll,SLIM RIVER Toll,16.32,29.8,39.7,8.12,12.22
CANGKAT JERING Toll,PENDANG Toll,16.31,29.7,39.5,8.19,12.3
CANGKAT JERING Toll,BEHRANG Toll,17.96,32.8,43.8,9.02,13.45
CANGKAT JERING Toll,Alor Setar Selatan Toll,17.95,32.7,43.5,9.01,13.98
CANGKAT JERING Toll,Alor Setar Utara Toll,18.61,33.8,45,9.34,14.02
CANGKAT JERING Toll,Tg. Malim Toll,19.6,35.8,47.7,9.76,14.68
CANGKAT JERING Toll,Hutan Kampung Toll,19.27,35.1,46.7,9.67,14.78
CANGKAT JERING Toll,LEMBAH BERINGIN Toll,20.58,37.6,50.2,10.33,15.42
CANGKAT JERING Toll,BUKIT TAGAR Toll,21.57,39.5,52.6,10.82,16.15
CANGKAT JERING Toll,BUKIT BERUNTUNG Toll,22.55,41.2,54.9,11.23,16.89
CANGKAT JERING Toll,SUNGAI BUAYA Toll,23.29,42.6,56.8,11.64,17.47
CANGKAT JERING Toll,RAWANG Toll,24.27,44.4,59.2,12.14,18.2
CANGKAT JERING Toll,RAWANG SELATAN Toll,24.76,45.3,60.4,12.38,18.61
CANGKAT JERING Toll,SG. BULOH HOSPITAL Toll,25.42,46.5,62,12.71,19.11
CANGKAT JERING Toll,SG. BULOH Toll,25.67,46.9,62.6,12.79,19.27
CANGKAT JERING Toll,KOTA DAMANSARA Toll,26.32,48.1,64.2,13.2,19.76
CANGKAT JERING Toll,DAMANSARA Toll,26.73,49,65.3,13.37,20.09
CANGKAT JERING Toll,Jalan Duta Toll,26.98,49.3,65.7,13.45,20.17
CANGKAT JERING Toll,SUBANG Toll,26.98,49.3,65.7,13.45,20.17
CANGKAT JERING Toll,Shah Alam Toll,27.47,50.3,67,13.78,20.66
CANGKAT JERING Toll,Seafield Toll,28.21,51.6,68.7,14.1,21.07
CANGKAT JERING Toll,Setia Alam Toll,28.45,52,69.4,14.19,21.32
CANGKAT JERING Toll,USJ Toll,28.62,52.3,69.7,14.27,21.4
CANGKAT JERING Toll,Bukit Raja Toll,28.62,52.3,69.8,14.27,21.48
CANGKAT JERING Toll,PUTRA HEIGHTS Toll,29.11,53.3,71,14.51,21.81
CANGKAT JERING Toll,Bandar Saujana Putra Toll,29.44,53.8,71.7,14.68,22.06
CANGKAT JERING Toll,BANDAR GAMUDA COVE Toll,30.59,55.9,74.5,15.25,22.88
CANGKAT JERING Toll,Putra Jaya Toll,31,56.7,75.5,15.5,23.21
CANGKAT JERING Toll,BANDAR SERENIA Toll,31.73,58.1,77.5,15.91,23.86
CANGKAT JERING Toll,KLIA Toll,32.23,58.7,78,16.32,24.19
CANGKAT JERING Toll,Nilai Toll,33.46,61.2,81.5,16.73,25.09
CANGKAT JERING Toll,Putera Mahkota Toll,33.46,61.3,81.7,16.81,25.09
CANGKAT JERING Toll,SOUTHVILLE CITY Toll,33.95,62.1,82.8,16.97,25.5
CANGKAT JERING Toll,BANGI Toll,34.28,62.7,83.6,17.14,25.67
CANGKAT JERING Toll,KAJANG Toll,34.93,63.9,85.2,17.55,26.16
CANGKAT JERING Toll,Bandar Ainsdale Toll,35.1,64.2,85.6,17.63,26.32
CANGKAT JERING Toll,UPM Toll,35.18,64.3,85.7,17.63,26.32
CANGKAT JERING Toll,SEREMBAN Toll,35.42,64.9,86.4,17.79,26.57
CANGKAT JERING Toll,Sg. Besi Toll,35.67,65.3,87,17.88,26.73
CANGKAT JERING Toll,Port Dickson Toll,35.92,65.7,87.5,17.96,26.9
CANGKAT JERING Toll,Senawang Toll,36.33,66.5,88.6,18.2,27.22
CANGKAT JERING Toll,PEDAS LINGGI Toll,38.13,69.7,92.9,19.11,28.54
CANGKAT JERING Toll,Simpang Ampat Toll,40.67,74.4,99.2,20.42,30.5
CANGKAT JERING Toll,BANDAR CASSIA Toll,13.72,45,89.4,12.49,32.28
CANGKAT JERING Toll,Ayer Keroh Toll,43.05,78.8,105,21.57,32.31
CANGKAT JERING Toll,Jasin Toll,44.85,82.1,109.4,22.47,33.62
CANGKAT JERING Toll,Tangkak Toll,46,84.2,112.2,23.04,34.52
CANGKAT JERING Toll,Bukit Gambir Toll,47.4,86.7,115.5,23.7,35.51
CANGKAT JERING Toll,Pagoh Toll,49.12,89.9,119.9,24.6,36.82
CANGKAT JERING Toll,Yong Peng Utara Toll,53.87,98.6,131.4,26.98,40.43
CANGKAT JERING Toll,Ayer Hitam Toll,56.09,102.6,136.7,28.04,42.07
CANGKAT JERING Toll,Machap Toll,56.91,104.1,138.8,28.45,42.64
CANGKAT JERING Toll,Spg. Renggam Toll,58.47,107,142.6,29.27,43.87
CANGKAT JERING Toll,Sedenak Toll,60.52,110.7,147.6,30.34,45.35
CANGKAT JERING Toll,KULAI Toll,62.07,113.5,151.3,31.08,46.49
CANGKAT JERING Toll,Senai Utara Toll,63.06,115.3,153.7,31.57,47.23
CANGKAT JERING Toll,Skudai Toll,63.39,115.9,154.5,31.73,47.48
CHANGKAT CERMIN Toll,SETIAWAN (N) Toll,2.7,5.3,8,1.3,2
CHANGKAT CERMIN Toll,BERUAS Toll,3.6,7.2,10.9,1.8,2.7
CHANGKAT CERMIN Toll,SETIAWAN Toll,4.2,8.3,12.5,2.1,3.1
CHANGKAT CERMIN Toll,KG LEKIR Toll,4.7,9.5,14.2,2.4,3.6
CHENEH Toll,CUKAI Toll,2.2,4.4,6.7,1.1,2.2
CHENEH Toll,KIJAL Toll,4.5,9,13.4,2.2,4.5
CHENEH Toll,KERTEH Toll,6.2,12.3,18.5,3.1,6.2
CHENEH Toll,PAKA Toll,7.6,15.2,22.8,3.8,7.6
CHENEH Toll,DUNGUN Toll,9.8,19.5,29.3,4.9,9.8
CHENEH Toll,BUKIT BESI Toll,11.5,23.1,34.6,5.8,11.5
CHENEH Toll,AJIL Toll,16.2,32.4,48.5,8.1,16.2
CHENEH Toll,TELEMUNG Toll,18.5,37,55.5,9.3,18.5
CHENEH Toll,Kuala Terengganu (Kg Gemuroh) Toll,19.7,39.4,59.1,9.9,19.7
CHENOR Toll,TEMERLOH Toll,2,3.9,5.9,1,2
CHENOR Toll,MARAN Toll,4.4,8.8,13.2,2.2,4.4
CHENOR Toll,LANCANG Toll,5.2,10.3,15.5,2.6,5.2
CHENOR Toll,SRI JAYA Toll,6.1,12.2,18.2,3,6.1
CHENOR Toll,KARAK Toll,7.7,15.4,23.1,3.9,7.7
CHENOR Toll,GAMBANG Toll,9.5,19,28.6,4.8,9.5
CHENOR Toll,KUANTAN Toll,12.3,24.6,36.8,6.1,12.3
CHENOR Toll,JABOR Toll,13.7,27.4,41.1,6.8,13.7
CHENOR Toll,CHENEH Toll,16.7,33.3,50,8.3,16.7
CHENOR Toll,CUKAI Toll,18.1,36.2,54.3,9,18.1
CHENOR Toll,KIJAL Toll,20.4,40.7,61.1,10.1,20.4
CHENOR Toll,KERTEH Toll,22.1,44.1,66.2,11,22.1
CHENOR Toll,PAKA Toll,23.5,46.9,70.4,11.7,23.5
CHENOR Toll,DUNGUN Toll,25.7,51.3,77,12.8,25.7
CHENOR Toll,BUKIT BESI Toll,27.7,55.4,83.1,13.8,27.7
CHENOR Toll,AJIL Toll,32.3,64.7,97,16.1,32.3
CHENOR Toll,TELEMUNG Toll,34.7,69.4,104,17.3,34.7
CHENOR Toll,Kuala Terengganu (Kg Gemuroh) Toll,35.9,71.7,107.6,17.9,35.9
CUKAI Toll,CHENEH Toll,2.2,4.4,6.7,1.1,2.2
CUKAI Toll,KIJAL Toll,2.7,5.4,8.1,1.4,2.7
CUKAI Toll,KERTEH Toll,4.4,8.8,13.2,2.2,4.4
CUKAI Toll,PAKA Toll,5.8,11.6,17.4,2.9,5.8
CUKAI Toll,BUKIT BESI Toll,9.8,19.5,29.3,4.9,5.8
CUKAI Toll,DUNGUN Toll,8,16,24,4,8
CUKAI Toll,AJIL Toll,14.4,28.8,43.2,7.2,14.4
CUKAI Toll,TELEMUNG Toll,16.8,33.5,50.3,8.4,16.8
CUKAI Toll,Kuala Terengganu (Kg Gemuroh) Toll,17.9,35.9,53.8,9,17.9
CUKAI Toll,KARAK Toll,25.5,51,76.5,12.8,25.5
DAMANSARA Toll,KOTA DAMANSARA Toll,0.82,1.4,1.9,0.41,0.57
DAMANSARA Toll,SUBANG Toll,0.82,1.4,1.9,0.41,0.57
DAMANSARA Toll,Shah Alam Toll,1.31,2.4,3.3,0.66,1.07
DAMANSARA Toll,SG. BULOH Toll,1.39,2.5,3.4,0.66,1.07
DAMANSARA Toll,SG. BULOH HOSPITAL Toll,1.64,3.1,4.1,0.82,1.23
DAMANSARA Toll,Jalan Duta Toll,1.89,3.5,4.6,0.98,1.39
DAMANSARA Toll,Seafield Toll,1.97,3.6,4.8,0.98,1.48
DAMANSARA Toll,RAWANG SELATAN Toll,2.21,4,5.3,1.07,1.64
DAMANSARA Toll,Setia Alam Toll,2.21,4.1,5.4,1.15,1.64
DAMANSARA Toll,USJ Toll,2.38,4.3,5.8,1.15,1.8
DAMANSARA Toll,Bukit Raja Toll,2.46,4.5,6,1.23,1.8
DAMANSARA Toll,RAWANG Toll,2.79,5.1,6.8,1.39,2.13
DAMANSARA Toll,PUTRA HEIGHTS Toll,2.87,5.3,7.1,1.39,2.21
DAMANSARA Toll,Bandar Saujana Putra Toll,3.2,5.8,7.8,1.56,2.46
DAMANSARA Toll,SUNGAI BUAYA Toll,3.77,6.9,9.2,1.89,2.87
DAMANSARA Toll,BANDAR GAMUDA COVE Toll,4.35,7.9,10.5,2.13,3.28
DAMANSARA Toll,BUKIT BERUNTUNG Toll,4.43,8.2,10.9,2.21,3.36
DAMANSARA Toll,Putra Jaya Toll,4.76,8.7,11.6,2.38,3.61
DAMANSARA Toll,BUKIT TAGAR Toll,5.41,9.9,13.2,2.71,4.02
DAMANSARA Toll,BANDAR SERENIA Toll,5.58,10.1,13.5,2.79,4.18
DAMANSARA Toll,KLIA Toll,6.07,10.8,14.2,3.2,4.59
DAMANSARA Toll,LEMBAH BERINGIN Toll,6.72,12.2,16.3,3.36,5
DAMANSARA Toll,Nilai Toll,7.22,13.2,17.6,3.69,5.41
DAMANSARA Toll,Putera Mahkota Toll,7.3,13.5,17.9,3.69,5.49
DAMANSARA Toll,Tg. Malim Toll,7.54,13.9,18.5,3.77,5.66
DAMANSARA Toll,SOUTHVILLE CITY Toll,7.71,14.1,18.8,3.85,5.82
DAMANSARA Toll,BANGI Toll,8.12,14.9,19.8,4.1,6.07
DAMANSARA Toll,KAJANG Toll,8.77,16.1,21.4,4.43,6.56
DAMANSARA Toll,BEHRANG Toll,8.86,16.2,21.6,4.43,6.64
DAMANSARA Toll,Bandar Ainsdale Toll,8.94,16.4,21.8,4.51,6.72
DAMANSARA Toll,UPM Toll,9.02,16.5,21.9,4.51,6.72
DAMANSARA Toll,SEREMBAN Toll,9.27,17,22.6,4.67,6.97
DAMANSARA Toll,Sg. Besi Toll,9.51,17.4,23.2,4.76,7.13
DAMANSARA Toll,Port Dickson Toll,9.68,17.7,23.6,4.84,7.22
DAMANSARA Toll,Senawang Toll,10.09,18.6,24.7,5.08,7.54
DAMANSARA Toll,SLIM RIVER Toll,10.58,19.4,25.8,5.33,7.95
DAMANSARA Toll,PEDAS LINGGI Toll,11.97,21.9,29.2,5.99,8.94
DAMANSARA Toll,SUNGKAI Toll,12.71,23.2,31,6.4,9.51
DAMANSARA Toll,BIDOR Toll,14.27,26.1,34.8,7.13,10.74
DAMANSARA Toll,Simpang Ampat Toll,14.51,26.6,35.4,7.3,10.91
DAMANSARA Toll,TAPAH Toll,15.74,28.9,38.5,7.87,11.81
DAMANSARA Toll,Ayer Keroh Toll,16.89,31,41.3,8.53,12.63
DAMANSARA Toll,Jasin Toll,18.7,34.3,45.6,9.43,14.02
DAMANSARA Toll,GOPENG Toll,19.11,35,46.6,9.59,14.35
DAMANSARA Toll,Tangkak Toll,19.84,36.4,48.5,10,14.92
DAMANSARA Toll,SIMPANG PULAI Toll,20.17,36.9,49.2,10.09,15.17
DAMANSARA Toll,Bukit Gambir Toll,21.24,38.8,51.7,10.66,15.91
DAMANSARA Toll,Ipoh Selatan Toll,21.48,39.4,52.5,10.74,16.15
DAMANSARA Toll,Pagoh Toll,22.96,42,55.9,11.48,17.22
DAMANSARA Toll,KUALA KANGSAR Toll,24.35,44.7,59.5,12.22,18.29
DAMANSARA Toll,CANGKAT JERING Toll,26.73,49,65.3,13.37,20.09
DAMANSARA Toll,Yong Peng Utara Toll,27.72,50.8,67.6,13.94,20.75
DAMANSARA Toll,TAIPING UTARA Toll,28.54,52.2,69.6,14.27,21.4
DAMANSARA Toll,BUKIT MERAH Toll,29.77,54.5,72.6,14.84,22.3
DAMANSARA Toll,Ayer Hitam Toll,29.93,54.7,72.9,15.01,22.39
DAMANSARA Toll,Machap Toll,30.75,56.3,75,15.42,23.04
DAMANSARA Toll,ALOR PONGSU Toll,31.24,57.1,76.1,15.58,23.45
DAMANSARA Toll,BANDAR BAHARU Toll,31.65,58.1,77.4,15.83,23.78
DAMANSARA Toll,Spg. Renggam Toll,32.31,59.1,78.8,16.24,24.19
DAMANSARA Toll,JAWI Toll,33.21,60.8,81,16.56,24.93
DAMANSARA Toll,Sedenak Toll,34.36,62.9,83.8,17.22,25.75
DAMANSARA Toll,BKT. TAMBUN UTARA Toll,34.52,63.3,84.3,17.3,25.91
DAMANSARA Toll,JURU Toll,35.26,64.6,86.1,17.63,26.49
DAMANSARA Toll,KULAI Toll,35.92,65.7,87.5,17.96,26.9
DAMANSARA Toll,Senai Utara Toll,36.9,67.5,89.9,18.45,27.63
DAMANSARA Toll,Skudai Toll,37.23,68.1,90.7,18.61,27.88
DAMANSARA Toll,BERTAM Toll,36.57,66.9,89.2,18.36,28.09
DAMANSARA Toll,SG. PETANI SELATAN Toll,38.21,69.9,93.1,19.18,28.78
DAMANSARA Toll,SG. PETANI UTARA Toll,38.95,71.2,94.9,19.51,29.27
DAMANSARA Toll,GURUN Toll,40.75,74.6,99.4,20.5,30.67
DAMANSARA Toll,PENDANG Toll,42.96,78.6,104.7,21.56,32.31
DAMANSARA Toll,Alor Setar Selatan Toll,44.6,81.6,108.7,22.38,33.99
DAMANSARA Toll,Alor Setar Utara Toll,45.26,82.7,110.2,22.71,34.03
DAMANSARA Toll,Hutan Kampung Toll,45.92,84,111.9,23.04,34.79
DAMANSARA Toll,BANDAR CASSIA Toll,40.45,93.8,154.5,25.86,52.28
Ebor Utara Toll,Seafield Toll,0.41,0.8,1,0.25,0.33
Ebor Utara Toll,USJ Toll,0.82,1.5,2,0.41,0.66
Ebor Utara Toll,PUTRA HEIGHTS Toll,1.39,2.5,3.3,0.66,0.98
Ebor Utara Toll,Bandar Saujana Putra Toll,1.64,3.1,4.1,0.82,1.23
Ebor Utara Toll,BANDAR GAMUDA COVE Toll,2.79,5.1,6.8,1.39,2.05
Ebor Utara Toll,Putra Jaya Toll,3.2,5.9,7.8,1.64,2.38
Ebor Utara Toll,BANDAR SERENIA Toll,4.02,7.3,9.7,1.97,2.95
Ebor Utara Toll,KLIA Toll,4.51,7.9,10.4,2.46,3.44
Ebor Utara Toll,Nilai Toll,5.66,10.4,13.8,2.87,4.26
Ebor Utara Toll,Putera Mahkota Toll,5.74,10.6,14.1,2.95,4.35
Ebor Utara Toll,SOUTHVILLE CITY Toll,6.15,11.3,15.1,3.12,4.59
Ebor Utara Toll,BANGI Toll,6.56,12,16,3.28,4.92
Ebor Utara Toll,KAJANG Toll,7.22,13.3,17.6,3.69,5.41
Ebor Utara Toll,Bandar Ainsdale Toll,7.38,13.6,18,3.77,5.58
Ebor Utara Toll,UPM Toll,7.46,13.7,18.2,3.77,5.58
Ebor Utara Toll,SEREMBAN Toll,7.71,14.2,18.8,3.94,5.82
Ebor Utara Toll,Sg. Besi Toll,7.95,14.6,19.4,4.02,5.99
Ebor Utara Toll,Port Dickson Toll,8.12,14.9,19.8,4.1,6.15
Ebor Utara Toll,Senawang Toll,8.53,15.7,20.9,4.35,6.48
Ebor Utara Toll,PEDAS LINGGI Toll,10.41,19.1,25.4,5.25,7.79
Ebor Utara Toll,Simpang Ampat Toll,12.96,23.8,31.6,6.56,9.76
Ebor Utara Toll,Ayer Keroh Toll,15.33,28,37.3,7.71,11.48
Ebor Utara Toll,Jasin Toll,17.14,31.4,41.8,8.61,12.87
Ebor Utara Toll,Tangkak Toll,18.29,33.5,44.5,9.18,13.69
Ebor Utara Toll,Bukit Gambir Toll,19.68,36,47.9,9.84,14.76
Ebor Utara Toll,Pagoh Toll,21.4,39.2,52.2,10.74,16.07
Ebor Utara Toll,Yong Peng Utara Toll,26.16,47.9,63.8,13.12,19.68
Ebor Utara Toll,Ayer Hitam Toll,28.37,51.9,69.1,14.19,21.32
Ebor Utara Toll,Machap Toll,29.11,53.3,71.1,14.6,21.89
Ebor Utara Toll,Spg. Renggam Toll,30.67,56.2,74.9,15.42,23.04
Ebor Utara Toll,Sedenak Toll,32.8,60.1,80,16.48,24.6
Ebor Utara Toll,KULAI Toll,34.28,62.7,83.6,17.14,25.75
Ebor Utara Toll,Senai Utara Toll,35.26,64.5,86,17.71,26.49
Ebor Utara Toll,Skudai Toll,35.67,65.3,87,17.88,26.73
ECO MAJESTIC Toll,Pajam Toll,1.4,2.1,2.7,0.7,1
ECO MAJESTIC Toll,SEMENYIH Toll,1.4,2.1,2.8,0.7,1
ECO MAJESTIC Toll,Kajang Selatan Toll,2,3,4,1,1.5
ECO MAJESTIC Toll,MANTIN Toll,2.9,4.3,5.7,1.4,2.1
ECO MAJESTIC Toll,Setul North Bound Toll,3.9,5.9,7.8,2,2.9
GAMBANG Toll,KUANTAN Toll,2.9,5.8,8.8,1.5,2.9
GAMBANG Toll,SRI JAYA Toll,3.8,7.7,11.5,1.9,3.8
GAMBANG Toll,JABOR Toll,4.3,8.7,13,2.2,4.3
GAMBANG Toll,MARAN Toll,5.4,10.8,16.3,2.7,5.4
GAMBANG Toll,CHENEH Toll,7.4,14.6,22,3.7,7.4
GAMBANG Toll,CUKAI Toll,8.8,17.5,26.3,4.4,8.8
GAMBANG Toll,CHENOR Toll,9.5,19,28.6,4.8,9.5
GAMBANG Toll,KIJAL Toll,11.1,22,33.1,5.5,11.1
GAMBANG Toll,TEMERLOH Toll,11.1,22.2,33.3,5.6,11.1
GAMBANG Toll,KERTEH Toll,12.8,25.4,38.2,6.4,12.8
GAMBANG Toll,PAKA Toll,14.2,28.2,42.4,7.1,14.2
GAMBANG Toll,LANCANG Toll,14.3,28.6,42.9,7.2,14.3
GAMBANG Toll,DUNGUN Toll,16.4,32.6,49,8.2,16.4
GAMBANG Toll,KARAK Toll,16.9,33.7,50.6,8.4,16.9
GAMBANG Toll,BUKIT BESI Toll,18.4,36.7,55.1,9.2,18.4
GAMBANG Toll,AJIL Toll,23,46,69,11.5,23
GAMBANG Toll,TELEMUNG Toll,25.4,50.7,76,12.7,25.4
GAMBANG Toll,Kuala Terengganu (Kg Gemuroh) Toll,26.6,53,79.6,13.3,26.6
GOPENG Toll,SIMPANG PULAI Toll,1.23,2.2,3,0.57,0.9
GOPENG Toll,Ipoh Selatan Toll,2.54,4.7,6.3,1.31,1.89
GOPENG Toll,TAPAH Toll,3.53,6.4,8.6,1.72,2.62
GOPENG Toll,BIDOR Toll,5,9.2,12.2,2.54,3.77
GOPENG Toll,KUALA KANGSAR Toll,5.41,10,13.3,2.79,4.02
GOPENG Toll,SUNGKAI Toll,6.56,11.9,15.9,3.28,4.92
GOPENG Toll,CANGKAT JERING Toll,7.79,14.3,19.1,3.94,5.82
GOPENG Toll,SLIM RIVER Toll,8.61,15.8,21.1,4.35,6.48
GOPENG Toll,TAIPING UTARA Toll,9.59,17.5,23.4,4.84,7.13
GOPENG Toll,BEHRANG Toll,10.33,18.9,25.2,5.17,7.71
GOPENG Toll,BUKIT MERAH Toll,10.82,19.8,26.4,5.41,8.04
GOPENG Toll,Tg. Malim Toll,11.97,21.8,29.1,5.99,8.94
GOPENG Toll,ALOR PONGSU Toll,12.3,22.4,29.9,6.15,9.18
GOPENG Toll,BANDAR BAHARU Toll,12.71,23.4,31.2,6.4,9.51
GOPENG Toll,LEMBAH BERINGIN Toll,12.96,23.7,31.5,6.48,9.68
